"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment","Gender"
"04","Arizona","04001","Apache","2018","2.8","","Male"
"04","Arizona","04001","Apache","2018","4.9","","Female"
"04","Arizona","04003","Cochise","2018","4.8","","Male"
"04","Arizona","04003","Cochise","2018","5.7","","Female"
"04","Arizona","04005","Coconino","2018","2.4","","Male"
"04","Arizona","04005","Coconino","2018","4.1","","Female"
"04","Arizona","04007","Gila","2018","4.4","","Male"
"04","Arizona","04007","Gila","2018","4.8","","Female"
"04","Arizona","04009","Graham","2018","4.2","","Male"
"04","Arizona","04009","Graham","2018","5.2","","Female"
"04","Arizona","04011","Greenlee","2018","3.8","","Male"
"04","Arizona","04011","Greenlee","2018","4.2","","Female"
"04","Arizona","04012","La Paz","2018","4.4","","Male"
"04","Arizona","04012","La Paz","2018","4.8","","Female"
"04","Arizona","04013","Maricopa","2018","4.4","","Male"
"04","Arizona","04013","Maricopa","2018","4.9","","Female"
"04","Arizona","04015","Mohave","2018","2.1","","Male"
"04","Arizona","04015","Mohave","2018","3.5","","Female"
"04","Arizona","04017","Navajo","2018","2.3","","Male"
"04","Arizona","04017","Navajo","2018","3.6","","Female"
"04","Arizona","04019","Pima","2018","4.5","","Male"
"04","Arizona","04019","Pima","2018","5.0","","Female"
"04","Arizona","04021","Pinal","2018","4.6","","Male"
"04","Arizona","04021","Pinal","2018","5.1","","Female"
"04","Arizona","04023","Santa Cruz","2018","4.9","","Male"
"04","Arizona","04023","Santa Cruz","2018","5.8","","Female"
"04","Arizona","04025","Yavapai","2018","4.4","","Male"
"04","Arizona","04025","Yavapai","2018","4.9","","Female"
"04","Arizona","04027","Yuma","2018","4.6","","Male"
"04","Arizona","04027","Yuma","2018","5.0","","Female"
"09","Connecticut","09001","Fairfield","2018","7.2","","Male"
"09","Connecticut","09001","Fairfield","2018","9.0","","Female"
"09","Connecticut","09003","Hartford","2018","6.0","","Male"
"09","Connecticut","09003","Hartford","2018","9.1","","Female"
"09","Connecticut","09005","Litchfield","2018","6.7","","Male"
"09","Connecticut","09005","Litchfield","2018","9.4","","Female"
"09","Connecticut","09007","Middlesex","2018","6.6","","Male"
"09","Connecticut","09007","Middlesex","2018","8.9","","Female"
"09","Connecticut","09009","New Haven","2018","6.4","","Male"
"09","Connecticut","09009","New Haven","2018","8.4","","Female"
"09","Connecticut","09011","New London","2018","5.4","","Male"
"09","Connecticut","09011","New London","2018","7.5","","Female"
"09","Connecticut","09013","Tolland","2018","5.1","","Male"
"09","Connecticut","09013","Tolland","2018","8.4","","Female"
"09","Connecticut","09015","Windham","2018","4.4","","Male"
"09","Connecticut","09015","Windham","2018","7.6","","Female"
"12","Florida","12001","Alachua","2018","7.1","","Male"
"12","Florida","12001","Alachua","2018","8.4","","Female"
"12","Florida","12003","Baker","2018","6.8","","Male"
"12","Florida","12003","Baker","2018","9.8","","Female"
"12","Florida","12005","Bay","2018","3.3","","Male"
"12","Florida","12005","Bay","2018","5.1","","Female"
"12","Florida","12007","Bradford","2018","6.7","","Male"
"12","Florida","12007","Bradford","2018","8.7","","Female"
"12","Florida","12009","Brevard","2018","5.6","","Male"
"12","Florida","12009","Brevard","2018","9.3","","Female"
"12","Florida","12011","Broward","2018","6.1","","Male"
"12","Florida","12011","Broward","2018","7.7","","Female"
"12","Florida","12013","Calhoun","2018","4.1","","Male"
"12","Florida","12013","Calhoun","2018","5.8","","Female"
"12","Florida","12015","Charlotte","2018","4.7","","Male"
"12","Florida","12015","Charlotte","2018","5.8","","Female"
"12","Florida","12017","Citrus","2018","4.9","","Male"
"12","Florida","12017","Citrus","2018","6.6","","Female"
"12","Florida","12019","Clay","2018","6.4","","Male"
"12","Florida","12019","Clay","2018","8.8","","Female"
"12","Florida","12021","Collier","2018","5.8","","Male"
"12","Florida","12021","Collier","2018","7.2","","Female"
"12","Florida","12023","Columbia","2018","7.4","","Male"
"12","Florida","12023","Columbia","2018","10.5","","Female"
"12","Florida","12027","DeSoto","2018","2.9","","Male"
"12","Florida","12027","DeSoto","2018","4.5","","Female"
"12","Florida","12029","Dixie","2018","4.7","","Male"
"12","Florida","12029","Dixie","2018","8.1","","Female"
"12","Florida","12031","Duval","2018","6.3","","Male"
"12","Florida","12031","Duval","2018","8.7","","Female"
"12","Florida","12033","Escambia","2018","4.9","","Male"
"12","Florida","12033","Escambia","2018","6.5","","Female"
"12","Florida","12035","Flagler","2018","4.3","","Male"
"12","Florida","12035","Flagler","2018","6.6","","Female"
"12","Florida","12037","Franklin","2018","3.1","Unstable","Male"
"12","Florida","12037","Franklin","2018","4.1","","Female"
"12","Florida","12039","Gadsden","2018","5.0","","Male"
"12","Florida","12039","Gadsden","2018","6.7","","Female"
"12","Florida","12041","Gilchrist","2018","7.9","","Male"
"12","Florida","12041","Gilchrist","2018","10.2","","Female"
"12","Florida","12043","Glades","2018","6.4","","Male"
