County_Name,County_Fips,Mobility_Percent
Norton ,20137,91%
Kenedy ,48261,89%
Williamsburg ,45089,89%
Fredericksburg ,51630,86%
Galax ,51640,86%
Storey ,32029,86%
Lexington ,45063,86%
Winchester ,51840,85%
Loving ,48301,85%
Bristol ,25005,84%
Emporia ,51595,84%
Martinsville ,51690,84%
Colonial Heights ,51570,84%
Guadalupe ,35019,84%
Banks ,13011,83%
Greensville ,51081,83%
Quitman ,13239,83%
Oldham ,21185,82%
Lowndes ,1085,82%
DeKalb ,1049,82%
Sherman ,20181,82%
Stanley ,46117,81%
Coosa ,1037,81%
Sussex ,10005,81%
Montgomery ,1101,81%
Dooly ,13093,80%
Dallam ,48111,80%
Martin ,12085,80%
Salem ,34033,80%
Charlottesville ,51540,80%
Armstrong ,42005,80%
Lyon ,19119,80%
Buffalo ,31019,80%
McMullen ,48311,80%
Bland ,51021,79%
Issaquena ,28055,79%
Harrisonburg ,51660,79%
McClain ,40087,79%
Livingston ,17105,79%
Peach ,13225,79%
Chase ,20017,79%
Charles City ,51036,79%
Culberson ,48109,79%
Calhoun ,1015,79%
Waller ,48473,79%
Jackson ,1071,79%
Deuel ,31049,79%
Stanton ,20187,79%
Greene ,1063,79%
Falls Church ,51610,78%
Petersburg ,51730,78%
Hartley ,48205,78%
Butts ,13035,78%
Fulton ,5049,78%
Moore ,37125,78%
Borden ,48033,78%
Warren ,13301,78%
Ralls ,29173,78%
Waynesboro ,51820,78%
Love ,40085,78%
Radford ,51750,78%
Andrew ,29003,78%
Glasscock ,48173,78%
Nevada ,5099,78%
New Madrid ,29143,78%
St. Helena ,22091,78%
Twiggs ,13289,78%
Macon ,1087,78%
Wibaux ,30109,77%
Sterling ,48431,77%
West Baton Rouge ,22121,77%
Manassas ,51683,77%
Hopewell ,51670,77%
Archer ,48009,77%
Staunton ,51790,77%
Doniphan ,20043,77%
Webster ,13307,77%
Talbot ,13263,77%
Dawson ,13085,77%
Wheeler ,13309,77%
Miller ,5091,77%
Clear Creek ,8019,77%
Echols ,13101,77%
Polk ,5113,77%
Hamilton ,12047,77%
Loup ,31115,77%
Covington ,1039,77%
Clinton ,17027,77%
King and Queen ,51097,77%
Miller ,5091,77%
Franklin ,1059,77%
Buena Vista ,19021,77%
Sherman ,20181,77%
Fremont ,8043,76%
Turner ,13287,76%
Pike ,1109,76%
Gallatin ,17059,76%
Taliaferro ,13265,76%
Lyman ,46085,76%
Cleburne ,1029,76%
Eureka ,32011,76%
Worth ,13321,76%
Treasure ,30103,76%
Dakota ,27037,76%
Wabaunsee ,20197,76%
Chambers ,1017,76%
Carroll ,5015,76%
Madison ,1089,76%
Manassas Park ,51685,76%
Hancock ,13141,76%
Jones ,13169,76%
Russell ,1113,76%
Chattahoochee ,13053,76%
Montour ,42093,76%
Hidalgo ,35023,76%
Rockbridge ,51163,76%
Wilkin ,27167,76%
Baker ,12003,76%
Newton ,5101,76%
Logan ,5083,76%
Union ,5139,76%
Cotton ,40033,75%
Goochland ,51075,75%
Trimble ,21223,75%
Grainger ,47057,75%
Atkinson ,13003,75%
King ,48269,75%
Jasper ,13159,75%
Lamar ,1075,75%
Conecuh ,1035,75%
Benton ,5007,75%
Crawford ,5033,75%
Clarke ,1025,75%
Haralson ,13143,75%
Henry ,1067,75%
Union ,5139,75%
Madison ,1089,75%
Meigs ,39105,75%
Aurora ,46003,75%
Perry ,1105,75%
Clay ,1027,75%
Carson ,48065,75%
Camden ,13039,75%
Terrell ,13273,75%
Refugio ,48391,75%
Calhoun ,1015,75%
Irwin ,13155,75%
Esmeralda ,32009,75%
Schuyler ,17169,75%
Lincoln ,5079,75%
Jerome ,16053,75%
Callahan ,48059,75%
Trousdale ,47169,75%
Stewart ,13259,75%
Lee ,1081,75%
Northampton ,37131,75%
Treutlen ,13283,74%
Hudspeth ,48229,74%
Candler ,13043,74%
Marshall ,1095,74%
Wagoner ,40145,74%
Henry ,1067,74%
Cameron ,22023,74%
Oconee ,13219,74%
Gosper ,31073,74%
York ,23031,74%
Catoosa ,13047,74%
Crockett ,47033,74%
Caroline ,24011,74%
Bienville ,22013,74%
Prairie ,5117,74%
Caswell ,37033,74%
Broomfield ,8014,74%
Craig ,40035,74%
Cumberland ,17035,74%
Henderson ,17071,74%
Wilkinson ,13319,74%
Benton ,5007,74%
Oliver ,38065,74%
Holmes ,12059,74%
Alexander ,17003,74%
Hayes ,31085,74%
Cherokee ,1019,74%
Wyandotte ,20209,74%
Warren ,13301,74%
New Kent ,51127,74%
Jones ,13169,74%
Brooks ,13027,74%
Madison ,1089,74%
Clay ,1027,74%
Pottawatomie ,20149,74%
Camp ,48063,73%
Monroe ,1099,73%
Osage ,20139,73%
Tyrrell ,37177,73%
Monroe ,1099,73%
Delta ,8029,73%
Covington ,1039,73%
Clark ,5019,73%
Campbell ,21037,73%
Jefferson ,1073,73%
Long ,13183,73%
Scott ,5127,73%
Maries ,29125,73%
Scott ,5127,73%
Marion ,1093,73%
Potter ,42105,73%
Daviess ,18027,73%
Irion ,48235,73%
Dewey ,40043,73%
Ohio ,18115,73%
Jackson ,1071,73%
Oglethorpe ,13221,73%
Roanoke ,51161,73%
,#N/A,74%
Edgefield ,45037,73%
Montgomery ,1101,73%
Surry ,37171,73%
Ballard ,21007,73%
Dinwiddie ,51053,73%
Saluda ,45081,73%
De Soto ,22031,73%
Van Buren ,5141,73%
Kemper ,28069,73%
Harris ,13145,73%
Miller ,5091,73%
Calumet ,55015,73%
Hickman ,21105,73%
Greene ,1063,73%
Billings ,38007,73%
Morris ,20127,73%
Lake ,6033,73%
Gallatin ,17059,73%
Polk ,5113,73%
Martin ,12085,73%
Franklin ,1059,73%
Carlisle ,21039,73%
Lee ,1081,73%
Carroll ,5015,73%
Morgan ,1103,73%
Live Oak ,48297,73%
Okfuskee ,40107,73%
Hart ,13147,73%
Heard ,13149,73%
Dade ,13083,73%
Richmond ,13245,74%
,#N/A,73%
Brunswick ,37019,73%
St. Clair ,1115,72%
Crawford ,5033,72%
Franklin ,1059,72%
Adair ,19001,72%
Glascock ,13125,72%
Smith ,20183,72%
Grundy ,17063,72%
Jasper ,13159,72%
Hitchcock ,31087,72%
Nicollet ,27103,72%
Upshur ,48459,72%
Grant ,5053,72%
Bath ,21011,72%
Jones ,13169,72%
Tunica ,28143,72%
Quitman ,13239,72%
Roberts ,46109,72%
