stateFIPS,State,countyFIPS,County,Year,Value,Data Comment
1,Alabama,1001,Autauga,2013-2017,597,
1,Alabama,1003,Baldwin,2013-2017,"2,419",
1,Alabama,1005,Barbour,2013-2017,757,
1,Alabama,1007,Bibb,2013-2017,197,
1,Alabama,1009,Blount,2013-2017,"1,083",
1,Alabama,1011,Bullock,2013-2017,259,
1,Alabama,1013,Butler,2013-2017,342,
1,Alabama,1015,Calhoun,2013-2017,"2,224",
1,Alabama,1017,Chambers,2013-2017,512,
1,Alabama,1019,Cherokee,2013-2017,525,
1,Alabama,1021,Chilton,2013-2017,"1,389",
1,Alabama,1023,Choctaw,2013-2017,308,
1,Alabama,1025,Clarke,2013-2017,415,
1,Alabama,1027,Clay,2013-2017,517,
1,Alabama,1029,Cleburne,2013-2017,330,
1,Alabama,1031,Coffee,2013-2017,799,
1,Alabama,1033,Colbert,2013-2017,924,
1,Alabama,1035,Conecuh,2013-2017,182,
1,Alabama,1037,Coosa,2013-2017,341,
1,Alabama,1039,Covington,2013-2017,558,
1,Alabama,1041,Crenshaw,2013-2017,247,
1,Alabama,1043,Cullman,2013-2017,"1,310",
1,Alabama,1045,Dale,2013-2017,596,
1,Alabama,1047,Dallas,2013-2017,589,
1,Alabama,1049,DeKalb,2013-2017,"2,085",
1,Alabama,1051,Elmore,2013-2017,709,
1,Alabama,1053,Escambia,2013-2017,344,
1,Alabama,1055,Etowah,2013-2017,"1,673",
1,Alabama,1057,Fayette,2013-2017,229,
1,Alabama,1059,Franklin,2013-2017,634,
1,Alabama,1061,Geneva,2013-2017,599,
1,Alabama,1063,Greene,2013-2017,235,
1,Alabama,1065,Hale,2013-2017,294,
1,Alabama,1067,Henry,2013-2017,291,
1,Alabama,1069,Houston,2013-2017,"1,239",
1,Alabama,1071,Jackson,2013-2017,687,
1,Alabama,1073,Jefferson,2013-2017,"7,936",
1,Alabama,1075,Lamar,2013-2017,349,
1,Alabama,1077,Lauderdale,2013-2017,"1,413",
1,Alabama,1079,Lawrence,2013-2017,850,
1,Alabama,1081,Lee,2013-2017,"1,163",
1,Alabama,1083,Limestone,2013-2017,"1,658",
1,Alabama,1085,Lowndes,2013-2017,179,
1,Alabama,1087,Macon,2013-2017,442,
1,Alabama,1089,Madison,2013-2017,"2,429",
1,Alabama,1091,Marengo,2013-2017,494,
1,Alabama,1093,Marion,2013-2017,565,
1,Alabama,1095,Marshall,2013-2017,"1,840",
1,Alabama,1097,Mobile,2013-2017,"4,442",
1,Alabama,1099,Monroe,2013-2017,368,
1,Alabama,1101,Montgomery,2013-2017,"2,998",
1,Alabama,1103,Morgan,2013-2017,"2,970",
1,Alabama,1105,Perry,2013-2017,185,
1,Alabama,1107,Pickens,2013-2017,253,
1,Alabama,1109,Pike,2013-2017,271,
1,Alabama,1111,Randolph,2013-2017,545,
1,Alabama,1113,Russell,2013-2017,"1,406",
1,Alabama,1117,Shelby,2013-2017,"1,843",
1,Alabama,1115,St. Clair,2013-2017,"1,606",
1,Alabama,1119,Sumter,2013-2017,202,
1,Alabama,1121,Talladega,2013-2017,"1,439",
1,Alabama,1123,Tallapoosa,2013-2017,693,
1,Alabama,1125,Tuscaloosa,2013-2017,"1,589",
1,Alabama,1127,Walker,2013-2017,"1,382",
1,Alabama,1129,Washington,2013-2017,592,
1,Alabama,1131,Wilcox,2013-2017,260,
1,Alabama,1133,Winston,2013-2017,728,
2,Alaska,2013,Aleutians East,2013-2017,40,
2,Alaska,2016,Aleutians West,2013-2017,52,
2,Alaska,2020,Anchorage,2013-2017,"1,287",
2,Alaska,2050,Bethel,2013-2017,277,
2,Alaska,2060,Bristol Bay,2013-2017,12,
2,Alaska,2068,Denali,2013-2017,0,
2,Alaska,2070,Dillingham,2013-2017,39,
2,Alaska,2090,Fairbanks North Star,2013-2017,654,
2,Alaska,2100,Haines,2013-2017,3,
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,2013-2017,20,
2,Alaska,2110,Juneau,2013-2017,148,
2,Alaska,2122,Kenai Peninsula,2013-2017,503,
2,Alaska,2130,Ketchikan Gateway,2013-2017,102,
2,Alaska,2150,Kodiak Island,2013-2017,172,
2,Alaska,2164,Lake and Peninsula,2013-2017,24,
2,Alaska,2170,Matanuska-Susitna,2013-2017,447,
