stateFIPS,State,countyFIPS,County,Year,Value,Data Comment
1,Alabama,1001,Autauga,2012-2016,26,
1,Alabama,1003,Baldwin,2012-2016,27,
1,Alabama,1005,Barbour,2012-2016,24,
1,Alabama,1007,Bibb,2012-2016,29,
1,Alabama,1009,Blount,2012-2016,35,
1,Alabama,1011,Bullock,2012-2016,26,
1,Alabama,1013,Butler,2012-2016,23,
1,Alabama,1015,Calhoun,2012-2016,25,
1,Alabama,1017,Chambers,2012-2016,25,
1,Alabama,1019,Cherokee,2012-2016,28,
1,Alabama,1021,Chilton,2012-2016,32,
1,Alabama,1023,Choctaw,2012-2016,32,
1,Alabama,1025,Clarke,2012-2016,25,
1,Alabama,1027,Clay,2012-2016,31,
1,Alabama,1029,Cleburne,2012-2016,34,
1,Alabama,1031,Coffee,2012-2016,21,
1,Alabama,1033,Colbert,2012-2016,24,
1,Alabama,1035,Conecuh,2012-2016,29,
1,Alabama,1037,Coosa,2012-2016,29,
1,Alabama,1039,Covington,2012-2016,26,
1,Alabama,1041,Crenshaw,2012-2016,28,
1,Alabama,1043,Cullman,2012-2016,27,
1,Alabama,1045,Dale,2012-2016,20,
1,Alabama,1047,Dallas,2012-2016,22,
1,Alabama,1049,DeKalb,2012-2016,23,
1,Alabama,1051,Elmore,2012-2016,29,
1,Alabama,1053,Escambia,2012-2016,23,
1,Alabama,1055,Etowah,2012-2016,24,
1,Alabama,1057,Fayette,2012-2016,29,
1,Alabama,1059,Franklin,2012-2016,29,
1,Alabama,1061,Geneva,2012-2016,27,
1,Alabama,1063,Greene,2012-2016,31,
1,Alabama,1065,Hale,2012-2016,29,
1,Alabama,1067,Henry,2012-2016,26,
1,Alabama,1069,Houston,2012-2016,22,
1,Alabama,1071,Jackson,2012-2016,25,
1,Alabama,1073,Jefferson,2012-2016,24,
1,Alabama,1075,Lamar,2012-2016,28,
1,Alabama,1077,Lauderdale,2012-2016,25,
1,Alabama,1079,Lawrence,2012-2016,28,
1,Alabama,1081,Lee,2012-2016,22,
1,Alabama,1083,Limestone,2012-2016,26,
1,Alabama,1085,Lowndes,2012-2016,30,
1,Alabama,1087,Macon,2012-2016,22,
1,Alabama,1089,Madison,2012-2016,21,
1,Alabama,1091,Marengo,2012-2016,25,
1,Alabama,1093,Marion,2012-2016,25,
1,Alabama,1095,Marshall,2012-2016,24,
1,Alabama,1097,Mobile,2012-2016,25,
1,Alabama,1099,Monroe,2012-2016,25,
1,Alabama,1101,Montgomery,2012-2016,20,
1,Alabama,1103,Morgan,2012-2016,24,
1,Alabama,1105,Perry,2012-2016,26,
1,Alabama,1107,Pickens,2012-2016,30,
1,Alabama,1109,Pike,2012-2016,20,
1,Alabama,1111,Randolph,2012-2016,27,
1,Alabama,1113,Russell,2012-2016,25,
1,Alabama,1117,Shelby,2012-2016,28,
1,Alabama,1115,St. Clair,2012-2016,30,
1,Alabama,1119,Sumter,2012-2016,24,
1,Alabama,1121,Talladega,2012-2016,25,
1,Alabama,1123,Tallapoosa,2012-2016,25,
1,Alabama,1125,Tuscaloosa,2012-2016,22,
1,Alabama,1127,Walker,2012-2016,30,
